Deltas entre nodos que respondieron:
TTL IP               RTT(ms)   RTT(i)-RTT(i-1) (ms)     Estimado
 5  100.72.3.193      67          0                     NO   
 6  100.72.3.185      59         -8                     NO   
 7  10.242.5.18       59          0                     NO   
 8  200.32.127.98     79         20                     NO   
 9  *                  *         52                     SI   
10  67.17.99.233     184         52                     NO   
11  *                  *         19                     SI   
12  *                  *         19                     SI   
13  4.68.127.54      243         19                     NO   
14  129.250.2.202    331         88                     NO   
15  129.250.4.20     181       -150                     NO   
16  129.250.2.219    212         31                     NO   
17  129.250.7.69     224         12                     NO   
18  129.250.2.177    351        127                     NO   
19  129.250.7.33     340        -11                     NO   
20  129.250.3.210    356         16                     NO   
21  61.200.91.186    335        -21                     NO   
22  *                  *          0                     SI   
23  *                  *          0                     SI   
24  *                  *          0                     SI   
25  210.188.213.76   336          0                     NO   
 1  192.168.0.1       52         11                     NO   
 2  10.33.64.1        56          4                     NO   
 3  100.72.4.149      31        -25                     NO   
 4  100.72.3.194      55         24                     NO   
 5  100.72.3.193      64          9                     NO   
 6  100.72.3.185      40        -24                     NO   
 7  10.242.5.18       63         23                     NO   
 8  200.32.127.98     35        -28                     NO   
 9  200.32.127.97     69         34                     NO   
10  67.17.94.249     176        107                     NO   
11  *                  *          6                     SI   
12  *                  *          6                     SI   
13  4.68.127.54      196          6                     NO   
14  129.250.3.40     327        131                     NO   
15  129.250.4.88     199       -128                     NO   
16  129.250.2.219    204          5                     NO   
17  129.250.7.69     223         19                     NO   
18  129.250.2.177    331        108                     NO   
19  129.250.7.33     347         16                     NO   
20  129.250.3.106    336        -11                     NO   
21  61.200.82.178    343          7                     NO   
22  *                  *          0                     SI   
23  *                  *          0                     SI   
24  *                  *          0                     SI   
25  210.188.213.76   344          0                     NO   
 1  192.168.0.1       63         11                     NO   
 2  10.33.64.1        55         -8                     NO   
 3  100.72.4.149      64          9                     NO   
 4  100.72.3.194      88         24                     NO   
 5  100.72.3.193      64        -24                     NO   
 6  100.72.3.185     119         55                     NO   
 7  10.242.5.18       60        -59                     NO   
 8  200.32.127.98     60          0                     NO   
 9  *                  *         61                     SI   
10  67.17.94.249     183         61                     NO   
11  *                  *          4                     SI   
12  *                  *          4                     SI   
13  4.68.127.54      195          4                     NO   
14  129.250.3.40     328        133                     NO   
15  129.250.4.88     191       -137                     NO   
16  129.250.2.219    216         25                     NO   
17  129.250.7.69     239         23                     NO   
18  129.250.2.177    327         88                     NO   
19  129.250.2.128    328          1                     NO   
20  129.250.3.232    332          4                     NO   
21  61.200.82.178    327         -5                     NO   
22  *                  *          3                     SI   
23  *                  *          3                     SI   
