Deltas entre nodos que respondieron:
TTL IP               RTT(ms)   RTT(i)-RTT(i-1) (ms)     Estimado
12  154.54.24.221    208         -4                     NO   
13  154.54.40.109    212          4                     NO   
14  154.54.42.86     300         88                     NO   
15  154.54.57.162    296         -4                     NO   
16  154.54.61.69     312         16                     NO   
17  149.14.146.194   292        -20                     NO   
18  155.232.1.40     440        148                     NO   
19  155.232.64.76    468         28                     NO   
20  155.232.1.16     492         24                     NO   
21  155.232.15.214   476        -16                     NO   
22  155.232.29.2     464        -12                     NO   
 1  192.168.0.1       52         19                     NO   
 2  *                  *          3                     SI   
 3  *                  *          3                     SI   
 4  *                  *          3                     SI   
 5  *                  *          3                     SI   
 6  200.89.165.250    68          3                     NO   
 7  185.70.203.32     71          3                     NO   
 8  89.221.41.171    223        152                     NO   
 9  154.54.9.17      188        -35                     NO   
10  154.54.47.29     192          4                     NO   
11  154.54.28.49     200          8                     NO   
12  154.54.24.221    220         20                     NO   
13  154.54.40.109    220          0                     NO   
14  154.54.42.86     367        147                     NO   
15  154.54.57.162    308        -59                     NO   
16  154.54.61.69     300         -8                     NO   
17  149.14.146.194   316         16                     NO   
18  155.232.1.40     484        168                     NO   
19  155.232.64.76    464        -20                     NO   
20  155.232.1.16     480         16                     NO   
21  155.232.15.214   492         12                     NO   
22  155.232.29.2     491         -1                     NO   
TTL1    TTL2    IP1                     IP2                     Tiempo entre nodos
7       8       185.70.203.32           89.221.41.171           143 ms
9       10      154.54.9.17             154.54.47.29            2 ms
10      11      154.54.47.29            154.54.28.49            15 ms
11      12      154.54.28.49            154.54.24.221           7 ms
12      13      154.54.24.221           154.54.40.109           5 ms
13      14      154.54.40.109           154.54.42.86            82 ms
16      17      154.54.61.69            149.14.146.194          0 ms
17      18      149.14.146.194          155.232.1.40            150 ms
18      19      155.232.1.40            155.232.64.76           19 ms
19      20      155.232.64.76           155.232.1.16            11 ms
20      21      155.232.1.16            155.232.15.214          0 ms
TTL1    TTL2    IP1                     IP2                     Valor Z
7       8       185.70.203.32           89.221.41.171           1.880957264023117
9       10      154.54.9.17             154.54.47.29            -0.6803813808406709
10      11      154.54.47.29            154.54.28.49            -0.44422959088869046
11      12      154.54.28.49            154.54.24.221           -0.5895537693206784
12      13      154.54.24.221           154.54.40.109           -0.6258848139286753
13      14      154.54.40.109           154.54.42.86            0.7728604034792087
16      17      154.54.61.69            149.14.146.194          -0.7167124254486679
17      18      149.14.146.194          155.232.1.40            2.0081159201511065
18      19      155.232.1.40            155.232.64.76           -0.3715675016726965
19      20      155.232.64.76           155.232.1.16            -0.5168916801046844
20      21      155.232.1.16            155.232.15.214          -0.7167124254486679
OUTLIERS USANDO CIMBALA:
========================
TTL1    TTL2    IP1                     IP2                     Tiempo entre nodos
17      18      149.14.146.194          155.232.1.40            150 ms
7       8       185.70.203.32           89.221.41.171           143 ms
13      14      154.54.40.109           154.54.42.86            82 ms
OUTLIERS PARA RESULTADOS NORMALIZADOS:
======================================
TTL1    TTL2    IP1                     IP2                     Valor Z
17      18      149.14.146.194          155.232.1.40            2.0081159201511065
7       8       185.70.203.32           89.221.41.171           1.880957264023117
13      14      154.54.40.109           154.54.42.86            0.7728604034792087
